Era,War,Death range,Date,Combatants,Location,Notes,Aliases,Description,Source
Modern,Eighty Years' War,"600,000–700,000",1568–1648,"Dutch Republic, England, Scotland, and France vs. Spanish Empire",Worldwide,[22] – Also known as the Dutch War of Independence,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Anglo-Spanish War (1585–1604),"138,285+",1585–1604,Spanish Empire and allies vs. Kingdom of England and allies,Europe / Americas,"English: 88,285[26], Scots/Irish: 50,000",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Japanese invasions of Korea,"1,000,000+",1592–1598,Kingdom of Great Joseon and Ming China vs. Japan,Korea,[27],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Transition from Ming to Qing,"25,000,000+",1616–1683,Qing China vs. Ming China vs. Shun dynasty China (Li Zicheng) vs. Xi dynasty China (Zhang Xianzhong vs. Kingdom of Shu (She-An Rebellion) vs. Evenk-Daur federation (Bombogor),China,[28] – Also known as the Ming–Qing transition,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Thirty Years' War,"4,000,000–12,000,000",1618–1648,Pro-Habsburg states vs. Anti-Habsburg states,Europe,[29],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Franco-Spanish War (1635–59),"200,000+",1635–1659,France and Allies vs. Spain and Allies,Western Europe,[23][30],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Wars of the Three Kingdoms,"876,000+",1639–1651,Royalists vs. Covenanters vs.Union of the Irish vs. Scottish Protestants vs. Parliamentarians,British Isles,[31][32][33] – Also known as the British Civil Wars,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,English Civil War,"356,000–735,000",1642–1651,Royalists vs. Parliamentarians,England,[34] – Part of the Wars of the Three Kingdoms,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Mughal–Maratha Wars,"5,000,000+",1658-1707,Maratha empire vs. Mughal Empire,India-Bangladesh,[35][36],,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Franco-Dutch War,"220,000+",1672–1678,France and allies vs. Dutch Republic and allies,Western Europe,[23] – Also known as the Dutch War,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Great Turkish War,"380,000+",1683–1699,Ottoman Empire vs. European Holy League,Eastern Europe,[23] – Also known as the War of the Holy League,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Great Northern War,"350,000+",1700–1721,Russia and allies vs. Swedish Empire,Eastern Europe,"Sweden, the Swedish Baltic provinces, and Finland, together, with a population of only 2.5 million, lost some 350,000 dead during the war from all causes.",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,War of the Spanish Succession,"400,000–1,250,000",1701–1714,Grand Alliance vs. Bourbon Alliance,Europe / Americas,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Maratha expeditions in Bengal,"400,000+",1741–1751,Maratha Empire vs. Nawab of Bengal,India,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Seven Years' War,"868,000–1,400,000",1756–1763,Great Britain and allies vs. France and Allies,Worldwide,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Sino-Burmese War (1765–69),"70,000+",1765–1769,Burma vs. Qing China,Southeast Asia,,Qing invasions of Burma,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Tây Sơn rebellion,"1,200,000–2,000,000+",1771–1802,"Tây Sơn rebels then dynasty (British supports) and Chinese pirates vs Nguyễn lords, Trịnh lords, Lê dynasty of Vietnam; Siam; Qing dynasty of China; Kingdom of Vientiane; French army.",Southeast Asia,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,American Revolutionary War,"37,324+",1775–1783,United States and allies vs. British Empire and German Mercenaries,Worldwide,"37,324 battle dead, all sides, all theaters.",American War of Independence,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,French campaign in Egypt and Syria,"65,000+",1798–1801,France vs. Ottoman Empire and Great Britain,Middle East / North Africa,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Saint-Domingue expedition,"135,000+",1802–1803,France vs. Haiti and UK,Haiti,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Napoleonic Wars,"3,500,000–7,000,000",1803–1815,Coalition powers vs. French empire and allies,Worldwide,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,French invasion of Russia,"540,000+",1812,French Empire vs. Russia,Russia,Part of the Napoleonic Wars,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Spanish American Wars of Independence,"600,000+",1808–1833,Spain and Portugal vs. American Independentists,Americas,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Venezuelan War of Independence,"228,000+",1810–1823,Spain vs. Venezuelan states,Venezuela,Part of Spanish American Wars of Independence,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Mfecane,"1,500,000–2,000,000",1815–1840,Ethnic communities in south Africa,Southern Africa,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Carlist Wars,"200,000+",1820–1876,Carlist Insurgents vs. Spain,Spain,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Greek War of Independence,"170,000+",1821–1831,Greek Revolutionaries vs. Ottoman Empire,Greece,"The war started between Greek Revolutionaries and the Ottoman Empire. The Greeks were later assisted by Russia, Great Britain, and France. The war led to the formation of modern Greece.",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,French conquest of Algeria,"480,000–1,000,000",1830–1903,France vs. Algerian resistance,Algeria,"The war started between France and the Deylik of Algiers, which was an Ottoman vassal, but after the early capitulation of the Deylik, resistance was led by different groups.",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Taiping Rebellion,"20,000,000–70,000,000",1850–1864,Qing China vs. Taiping Heavenly Kingdom,China,,Taiping Civil War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Crimean War,"356,000–410,000",1853–1856,Ottoman Empire and allies vs. Russia,Crimean Peninsula,One of the first wider uses of rifles,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Panthay Rebellion,"890,000–1,000,000",1856–1873,Qing China vs. Hui,China,,Du Wenxiu Rebellion,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Indian Rebellion of 1857,"800,000–1,000,000",1857–1858,Sepoy Mutineers vs. British East India Company,India,,"Sepoy Mutiny, Indian First War of Independence",,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,American Civil War,"650,000–1,000,000",1861–1865,Union States vs. Confederate States,USA,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Dungan Revolt,"8,000,000–20,000,000",1862–1877,Qing China vs. Hui vs. Kashgaria,China,,Tongzhi Hui Revolt,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,French intervention in Mexico,"49,287+",1862–1867,Mexican Republicans vs. France and Mexican Empire,Mexico,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Paraguayan War,"300,000–1,200,000",1864–1870,Triple alliance vs. Paraguay,South America, ,War of the Triple Alliance,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Ten Years' War,"241,000+",1868–1878,Spain vs. Cuba,Cuba,,Great War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Conquest of the Desert,"30,000–35,000",1870s–1884,Argentina vs. Mapuche people,Patagonia,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Aceh War,"97,000–107,000",1873–1914,Kingdom of the Netherlands vs. Aceh Sultanate,Indonesia,,Infidel War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,First Sino–Japanese War,"48,311+",1894–1895,Qing China vs. Japan,East Asia,A large factor in the weakening of Qing China.,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Cuban War of Independence,"362,000+",1895–1898,USA and Cuba vs. Spain,Cuba,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Thousand Days' War,"120,000+",1899–1902,Colombian Conservatives vs. Colombian Liberals,Colombia,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,South African War (Second Boer War),"73,000–90,000",1899-1902,United Kingdom and allies vs. South African Republic and Orange Free State,South Africa,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Philippine–American War,"234,000+",1899–1912,Philippines vs. USA,Philippines,,Philippine War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Mexican Revolution,"500,000–2,000,000",1910–1920,Revolutionary Forces vs. Anti-Revolutionary Forces,Mexico,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Balkan Wars,"140,000+",1912–1913,see Balkan wars,Balkan Peninsula,The war restricted Ottoman control in Europe to territories around Istanbul,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,World War I,"16,000,000–40,000,000+ (the higher estimate also includes the first victims of the related Spanish flu epidemic who died by the end of 1918. Neither includes the subsequent Russian Civil War)",1914–1918,Allied Powers vs. Central Powers,Worldwide,,Great War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Russian Civil War,"5,000,000–9,000,000",1917–1922,Red army and allies vs. White army and allies,Russia,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Kurdish separatism in Iran,"15,000-58,000",1918–present,Qajar dynasty vs. Shekak (tribe),Iran,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Iraqi–Kurdish conflict,"138,800–320,100",1918–2003,Kurdistan/Iraqi Kurdistan and allies vs. Iraq and allies,Iraq,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Kurdish rebellions in Turkey,"100,000+",1921–present,Turkey vs. Kurdish people,Middle East,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Second Italo-Senussi War,"40,000+",1923–1932,Italy vs. Senussi Order,Libya,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Chinese Civil War,"8,000,000–11,692,000",1927–1949,ROC vs. PRC,China,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Chaco War,"85,000–130,000",1932–1935,Bolivia vs. Paraguay,Gran Chaco,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Second Italo-Ethiopian War,"278,000+",1935–1936,Ethiopian Empire vs. Italy,Ethiopia,"According to Italian government statistics, the Italians suffered 1,148 KIA, 125 DOW, and 31 MIA. According to the Ethiopian government, at least 275,000 Ethiopians died in the brief war.",Second Italo–Abyssinian War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Spanish Civil War,"500,000–1,000,000",1936–1939,Nationalists vs. Republicans,Spain,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Second Sino-Japanese War,"20,000,000–25,000,000",1937–1945,Republic of China and allies vs. Japan,China,Part of World War II,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,World War II,"56,125,000–85,000,000",1939–1945,Allied powers vs. Axis Powers,Worldwide,Largest and deadliest war in history,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Winter War,"153,736–194,837",1939–1940,Finland vs. Soviet Union,Finland,Part of World War II,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Greco-Italian War,"27,000+",1940–1941,Greece vs. Italy,Southeast Europe,Part of World War II,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Continuation War,"387,300+",1941–1944,Finland and Germany vs. Soviet Union,Northern Europe,Part of World War II,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Soviet–Japanese War,"33,420–95,768",1945,Soviet Union and Mongolia vs. Japan,Manchuria,Part of World War II,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,First Indochina War,"400,000+",1946–1954,"France vs. Việt Minh, Lao Assara, and Khmer Issarak",Southeast Asia,,Indochina War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Greek Civil War,"158,000+",1946–1949,Greek Government army vs. DSE,Greece,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Malagasy Uprising,"11,342–89,000",1947–1948,France vs. Malagasy Insurgents,Madagascar,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Kashmir Conflict,"80,000–110,000",1947–present,India vs. Pakistan,North India / Pakistan,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,La Violencia,"192,700–194,700",1948–1958,Colombian Conservative Party vs. Colombian Liberal Party,Colombia,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Internal conflict in Myanmar,"130,000–250,000",1948–present,Myanmar vs. Burmese Insurgent Groups,Myanmar,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Arab–Israeli conflict,"116,074+",1948–present,Arab League vs. Israel,Middle East,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Indian annexation of Hyderabad,"29,000–242,000",1948,Dominion of India vs. Hyderabad,India,,Operation Polo,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Korean War,"1,500,000–4,500,000",1950–1953,South Korea and allies vs. North Korea and allies,Korea,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Algerian War,"400,000–1,500,000",1954–1962,Algeria vs. France,Algeria,,Algerian War of Independence,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Ethnic conflict in Nagaland,"34,000+",1954–present,India and Myanmar vs. Naga People,Northeast India,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Vietnam War,"2,400,000–4,300,000",1955–1975,South Vietnam and allies vs. North Vietnam and allies,Vietnam,,Second Indochina War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,First Sudanese Civil War,"500,000+",1955–1972,Sudan vs. South Sudanese Rebels,Sudan,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Congo Crisis,"100,000+",1960–1965,"DRC, USA, and Belgium vs. Simba and Kwilu Rebels",Congo,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Angolan War of Independence,"83,000–103,000",1961–1974,Angola vs. Portugal and South Africa,Angola,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,North Yemen Civil War,"100,000–200,000",1962–1970,Kingdom of Yemen and Saudi Arabia vs. Yemen Arab Republic and United Arab Republic,Yemen,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Mozambican War of Independence,"63,500–88,500",1964–1974,FRELIMO vs. Portugal,Mozambique,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Insurgency in Northeast India,"25,000+",1964–present,India and allies vs. Insurgent Groups,Northeast India,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Colombian conflict,"220,000+",1964–present,Colombia and allies vs. Far Left guerillas and Far Right paramilitares,Colombia,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Nigerian Civil War,"1,000,000–3,000,000",1967–1970,Nigeria vs. Biafra,Nigeria,,Biafran War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Moro Conflict,"120,000+",1969–2019,Philippines vs. Jihadist Groups vs. Bangsamoro,Philippines,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Communist rebellion in the Philippines,"30,000–43,000",1969–present,Philippines vs. Communist Party of the Philippines,Philippines,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Bangladesh Liberation War,"3,000,000+",1971,India and Bangladesh vs. Pakistan,Bangladesh,,Bangladesh War of Independence,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Ethiopian Civil War,"500,000–1,500,000",1974–1991,"Derg, PEDR, and Cuba vs. Anti-Communist rebel groups",Ethiopia,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Angolan Civil War,"504,158+",1975–2002,MPLA vs. UNITA,Angola,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Lebanese Civil War,"120,000–150,000",1975–1990,various groups,Lebanon,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Insurgency in Laos,"100,000+",1975–2007,"Laos and Vietnam vs. ""Secret army"" and Hmong people",Laos,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,War in Afghanistan,"1,240,000–2,000,000",1978–present,see War in Afghanistan,Afghanistan,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Kurdish–Turkish conflict,"45,000+",1978–present,Turkey vs. KCK,Middle East,Part of the Kurdish rebellions in Turkey,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Soviet–Afghan War,"600,000–2,000,000",1979–1989,Soviet Union and Afghanistan vs. Insurgent groups,Afghanistan,Part of War in Afghanistan,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Salvadoran Civil War,"70,000–80,000",1979-1992,El Salvador vs. FMLN,El Salvador,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Iran–Iraq War,"289,000–1,100,000",1980–1988,Iran and allies vs. Iraq and allies,Middle East,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Internal conflict in Peru,"70,000+",1980–present,Peru vs. PCP-SL and MRTA,Peru,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Ugandan Bush War,"100,000–500,000",1981–1986,ULNF and Tanzania vs. National Resistance Army,Uganda,,Luwero War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Second Sudanese Civil War,"1,000,000–2,000,000",1983–2005,Sudan vs. South Sudanese rebels,Sudan,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Sri Lankan Civil War,"80,000–100,000",1983–2009,Sri Lanka vs. Tamil Tigers,Sri Lanka,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Somali Civil War,"300,000–500,000",1986–present,Varying Somali governments vs. insurgent groups,Somalia,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Lord's Resistance Army insurgency,"100,000–500,000",1987–present,Lord's Resistance Army vs. Central African states,Central Africa,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Nagorno-Karabakh conflict,"38,000+",1988–present,Armenia vs. Azerbaijan and allies,Caucasus region,,Nagorno-Karabakh War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Gulf War,"25,500–40,500",1990–1991,Iraq vs. Coalition Forces,Iraq,,First Iraq War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Algerian Civil War,"44,000–200,000",1991–2002,Algeria vs. FIS loyalists vs. GIA,Algeria,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Bosnian War,"97,000–105,000",1991–1995,Bosnia and Herzegovinian governments and allies vs. Republika Srpska and allies,Bosnia,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,1991 Iraqi Civil War,"85,000–235,000",1991,Iraq vs various rebels,Iraq,,Sha'aban Intifada,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Sierra Leone Civil War,"50,000–300,000",1991–2002,see Sierra Leone Civil War,Sierra Leone,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Burundian Civil War,"300,000+",1993–2005,Burundi vs. Hutu rebels vs. Tutsi rebels,Burundi,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Rwandan genocide,"800,000",April–July 1994,Hutu people vs. Tutsi Rebels,Rwanda,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,First Congo War,"250,000–800,000",1996–1997,Zaire and allies vs. AFDL and allies,Congo,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Second Congo War,"2,500,000–5,400,000",1998–2003,See Second Congo War,Central Africa,,Great War of Africa,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Ituri conflict,"60,000+",1999–2003,Lendu Tribe vs. Hemu Tribe and allies,Congo,Part of the Second Congo War,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,War on Terror,"272,000–1,260,000",2001–present,Anti-Terrorist Forces vs. Terrorist groups,Worldwide,,Global War on Terrorism,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,War in Afghanistan (2001–present),"47,000–62,000",2001–present,see War in Afghanistan (2001–present),Afghanistan,Part of the War on Terror and War in Afghanistan,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Iraq War,"405,000–654,965",2003–2011,See Iraq War,Iraq,Part of the War on Terror,Second Gulf War,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,War in Darfur,"300,000+",2003–present,SRF and allies vs. Sudan and allies vs. UNAMID,Sudan,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Kivu Conflict,"100,000+",2004–present,see Kivu Conflict,Congo,Part of the Second Congo War,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,War in North-West Pakistan,"45,900–79,000",2004–2017,"Pakistan, USA, and UK vs. Terrorist groups",Pakistan,,"War in Waziristan, Part of the War on Terror and War in Afghanistan (2001–present)",,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Mexican Drug War,"150,000–250,000",2006–present,Mexico vs. Drug cartels,Mexico,,Mexican War on Drugs,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Boko Haram insurgency,"51,567+",2009–present,Multinational Joint Task Force vs. Boko Haram,Nigeria,"2,400,000 internally displaced",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Syrian Civil War,"387,000–593,000+",2011–present,Syrian Arab Republic vs. Republic of Syria vs. ISIL vs. Syrian Democratic Forces,Syria,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Rojava-Islamist conflict,"50,000+",2013–present,Syrian Democratic Forces vs. Islamic States of Iraq and Levant vs. al-Nusra Front,Syria,"100,000 Syrian Kurds fleeing to Turkey",,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Iraqi Civil War (2014–2017),"195,000–200,000+",2014–2017,Iraq and allies vs. ISIL,Iraq,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Modern,Yemeni Civil War,"233,000+",2014–present,Yemen's Supreme Political Council vs. Hadi Government and Saudi-led Coalition,Yemen,,,,https://en.wikipedia.org/wiki/List_of_wars_by_death_toll